Date,Name,Year,Letterboxd URI
2023-12-25,Rotting in the Sun,2023,https://boxd.it/E37y
2023-12-25,Samsara,2023,https://boxd.it/EL1a
2024-01-16,A Girl In A Fortress,2019,https://boxd.it/sWAG
2024-01-28,Where Is the Friend's House?,1987,https://boxd.it/ELg
2024-01-28,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq
2024-01-28,Get Out,2017,https://boxd.it/eOCm
2024-01-29,Ambajipeta Marriage Band,2024,https://boxd.it/JbC0
2024-01-30,Dhobi Ghat,2010,https://boxd.it/tae
2024-02-09,JFK,1991,https://boxd.it/29xm
2024-02-09,My Left Foot: The Story of Christy Brown,1989,https://boxd.it/1WW4
2024-02-09,The Thin Red Line,1998,https://boxd.it/1ZTM
2024-02-09,Sorcerer,1977,https://boxd.it/14J6
2024-02-12,The Phone Call,2013,https://boxd.it/6yrw
2024-02-12,Exam,2009,https://boxd.it/1mn8
2024-02-15,Bottle Rocket,1996,https://boxd.it/1PDa
2024-02-26,Singapore Saloon,2024,https://boxd.it/DCna
2024-02-28,The Death of Stalin,2017,https://boxd.it/ea9Y
2024-04-09,Drive-Away Dolls,2024,https://boxd.it/A8vi
2024-04-09,Network,1976,https://boxd.it/1VqG
2024-04-09,Problemista,2023,https://boxd.it/waGO
2024-04-14,Lion,2016,https://boxd.it/b2La
2024-04-14,Spider,2007,https://boxd.it/qUo
2024-05-12,Delhi-6,2009,https://boxd.it/1EbO
2024-05-12,The Most Beautiful Fishes in The World,2023,https://boxd.it/HdLO
2024-05-26,Pudhupettai,2006,https://boxd.it/2i1u
2024-06-18,Ek Chalis Ki Last Local,2007,https://boxd.it/1O28
2024-07-10,kid 90,2021,https://boxd.it/tWT6
2024-07-12,Twister,1996,https://boxd.it/29S0
2024-07-22,Persona,1966,https://boxd.it/29B4
2024-07-22,Persona,2018,https://boxd.it/nBOM
2024-07-22,Midsommar,2019,https://boxd.it/jhxe
2024-07-22,About Love,2019,https://boxd.it/muha
2024-07-29,Anantaram,1987,https://boxd.it/8m3G
2024-08-04,A Night of Knowing Nothing,2021,https://boxd.it/vBUw
2024-08-04,Three of Us,2022,https://boxd.it/DQmq
2024-08-04,Lost Ladies,2023,https://boxd.it/I0mS
2024-08-04,Days and Nights in the Forest,1970,https://boxd.it/1bM2
2024-08-04,Veedu,1988,https://boxd.it/aSwO
2024-08-04,Jersey,2019,https://boxd.it/lQjU
2024-08-04,The Adversary,1970,https://boxd.it/WKK
2024-08-04,Strawberry Cream,2024,https://boxd.it/Mwxc
2024-08-04,A Brighter Summer Day,1991,https://boxd.it/1Luy
2024-08-04,Ran,1985,https://boxd.it/1Tlu
2024-08-04,The Beaches of Agnès,2008,https://boxd.it/14Y6
2024-08-05,Dogtooth,2009,https://boxd.it/158K
2024-08-18,Prometheus,2012,https://boxd.it/2s9e
2024-08-18,The Favourite,2018,https://boxd.it/d2hI
2024-08-19,Alien: Romulus,2024,https://boxd.it/zGqO
2024-09-13,A Florida Melancholy,2019,https://boxd.it/kcKE
2024-10-07,The Dirk Diggler Story,1988,https://boxd.it/3Die
2024-10-13,"history of the entire world, i guess",2017,https://boxd.it/rQx0
2024-10-13,Period. End of Sentence.,2018,https://boxd.it/j2oQ
2024-10-13,Masaan,2015,https://boxd.it/b6x2
2024-10-13,Koyaanisqatsi,1982,https://boxd.it/1U9E
2024-10-14,The Souvenir: Part II,2021,https://boxd.it/gXTK
2024-12-08,The Song of Scorpions,2017,https://boxd.it/g7wE
2024-12-28,Trapped,2017,https://boxd.it/fj8i
2024-12-31,It's What's Inside,2024,https://boxd.it/DOV4
2025-01-10,Wallace & Gromit: Vengeance Most Fowl,2024,https://boxd.it/z14C
2025-05-14,Timo,2020,https://boxd.it/t428
2025-05-14,La Collectionneuse,1967,https://boxd.it/23Ls
2025-05-14,Gilmore Girls: A Year in the Life,2016,https://boxd.it/f9og
2025-05-15,Under the Waters,2022,https://boxd.it/Ac2a
2025-05-15,The Lobster,2015,https://boxd.it/7tnw
2025-12-27,8 A.M. Metro,2023,https://boxd.it/GpSK
2026-01-11,The Voice of Hind Rajab,2025,https://boxd.it/UXdO
2026-01-11,Dog Star Man,1965,https://boxd.it/eQCS
2026-02-17,The Trial of the Chicago 7,2020,https://boxd.it/kn3w
2026-03-26,A Different Man,2024,https://boxd.it/BoEC
